Seed 7 | objective hybrid-as | selector pareto-live-gate | linear bc 30000 | linear ppo 40000 | neural off | neural bc 30000 | neural ppo 40000 | workers 11

BC linear    [########--------------------]  29.9% 8960/30000 |   40.5/s | elapsed 3m 41s | eta 8m 39s | process workers | examples 892589 | q 399170 t 100577 r 54246
BC linear    [########--------------------]  30.3% 9088/30000 |   41.1/s | elapsed 3m 41s | eta 8m 29s | process workers | examples 905496 | q 404914 t 102194 r 55012
BC linear    [########--------------------]  30.5% 9152/30000 |   41.3/s | elapsed 3m 42s | eta 8m 25s | process workers | examples 912101 | q 408055 t 102734 r 55398
BC linear    [########--------------------]  30.7% 9216/30000 |   39.4/s | elapsed 3m 54s | eta 8m 48s | process workers | examples 918158 | q 410667 t 103638 r 55745
BC linear    [########--------------------]  30.9% 9280/30000 |   39.6/s | elapsed 3m 55s | eta 8m 44s | process workers | examples 924006 | q 413167 t 104392 r 56107
BC linear    [########--------------------]  31.1% 9344/30000 |   39.7/s | elapsed 3m 55s | eta 8m 40s | process workers | examples 930065 | q 416081 t 104627 r 56498
BC linear    [########--------------------]  31.4% 9408/30000 |   39.9/s | elapsed 3m 56s | eta 8m 36s | process workers | examples 936296 | q 419005 t 105155 r 56890
BC linear    [########--------------------]  31.6% 9472/30000 |   40.1/s | elapsed 3m 56s | eta 8m 32s | process workers | examples 942907 | q 421892 t 106194 r 57264
BC linear    [########--------------------]  31.8% 9536/30000 |   40.3/s | elapsed 3m 56s | eta 8m 27s | process workers | examples 949242 | q 424658 t 106791 r 57671
BC linear    [#########-------------------]  32.2% 9664/30000 |   40.8/s | elapsed 3m 57s | eta 8m 19s | process workers | examples 962230 | q 430605 t 108235 r 58437
BC linear    [#########-------------------]  32.9% 9856/30000 |   41.5/s | elapsed 3m 57s | eta 8m 5s | process workers | examples 981922 | q 439543 t 110155 r 59639 
BC linear    [#########-------------------]  33.1% 9920/30000 |   39.3/s | elapsed 4m 12s | eta 8m 30s | process workers | examples 987626 | q 442055 t 110895 r 60010
BC linear    [#########-------------------]  33.3% 9984/30000 |   39.6/s | elapsed 4m 12s | eta 8m 26s | process workers | examples 993427 | q 444571 t 111536 r 60367
BC linear    [#########-------------------]  33.5% 10048/30000 |   39.8/s | elapsed 4m 13s | eta 8m 21s | process workers | examples 999407 | q 447191 t 112190 r 60739
BC linear    [#########-------------------]  33.7% 10112/30000 |   40.0/s | elapsed 4m 13s | eta 8m 17s | process workers | examples 1005282 | q 449761 t 112930 r 61115
BC linear    [#########-------------------]  33.9% 10176/30000 |   40.2/s | elapsed 4m 13s | eta 8m 13s | process workers | examples 1011399 | q 452633 t 113246 r 61507
BC linear    [#########-------------------]  34.1% 10240/30000 |   40.4/s | elapsed 4m 13s | eta 8m 9s | process workers | examples 1017518 | q 455448 t 113924 r 61866 
BC linear    [#########-------------------]  34.3% 10304/30000 |   40.6/s | elapsed 4m 14s | eta 8m 5s | process workers | examples 1023989 | q 458257 t 114722 r 62241 
BC linear    [#########-------------------]  34.6% 10368/30000 |   40.7/s | elapsed 4m 15s | eta 8m 2s | process workers | examples 1030556 | q 461191 t 115446 r 62659 
BC linear    [#########-------------------]  34.8% 10432/30000 |   40.9/s | elapsed 4m 15s | eta 7m 58s | process workers | examples 1037038 | q 464077 t 116091 r 63069
BC linear    [#########-------------------]  35.0% 10496/30000 |   41.1/s | elapsed 4m 15s | eta 7m 54s | process workers | examples 1043683 | q 467139 t 116611 r 63496
BC linear    [#########-------------------]  35.2% 10560/30000 |   41.3/s | elapsed 4m 16s | eta 7m 50s | process workers | examples 1050337 | q 470297 t 117148 r 63887
BC linear    [#########-------------------]  35.4% 10624/30000 |   39.7/s | elapsed 4m 28s | eta 8m 8s | process workers | examples 1056465 | q 473060 t 118043 r 64199 
BC linear    [#########-------------------]  35.6% 10688/30000 |   39.8/s | elapsed 4m 28s | eta 8m 5s | process workers | examples 1062563 | q 475710 t 118572 r 64616 
BC linear    [##########------------------]  35.8% 10752/30000 |   40.0/s | elapsed 4m 29s | eta 8m 1s | process workers | examples 1068919 | q 478326 t 119789 r 64991 
BC linear    [##########------------------]  36.1% 10816/30000 |   40.1/s | elapsed 4m 30s | eta 7m 58s | process workers | examples 1074649 | q 480781 t 120568 r 65353
BC linear    [##########------------------]  36.7% 11008/30000 |   40.8/s | elapsed 4m 30s | eta 7m 45s | process workers | examples 1093844 | q 489278 t 122492 r 66582
BC linear    [##########------------------]  36.9% 11072/30000 |   41.0/s | elapsed 4m 30s | eta 7m 41s | process workers | examples 1100397 | q 492249 t 123291 r 66961
BC linear    [##########------------------]  37.1% 11136/30000 |   41.2/s | elapsed 4m 30s | eta 7m 38s | process workers | examples 1106713 | q 495079 t 123987 r 67353
BC linear    [##########------------------]  37.3% 11200/30000 |   41.3/s | elapsed 4m 31s | eta 7m 35s | process workers | examples 1113036 | q 498053 t 124476 r 67734
BC linear    [##########------------------]  37.5% 11264/30000 |   41.4/s | elapsed 4m 32s | eta 7m 32s | process workers | examples 1119880 | q 501094 t 125294 r 68133
BC linear    [##########------------------]  37.8% 11328/30000 |   39.4/s | elapsed 4m 47s | eta 7m 53s | process workers | examples 1125869 | q 503923 t 125952 r 68469
BC linear    [##########------------------]  38.0% 11392/30000 |   39.6/s | elapsed 4m 47s | eta 7m 49s | process workers | examples 1131889 | q 506612 t 126624 r 68834
BC linear    [##########------------------]  38.2% 11456/30000 |   39.8/s | elapsed 4m 48s | eta 7m 46s | process workers | examples 1137957 | q 509345 t 127301 r 69215
BC linear    [##########------------------]  38.4% 11520/30000 |   40.0/s | elapsed 4m 48s | eta 7m 42s | process workers | examples 1144190 | q 512094 t 127989 r 69605
BC linear    [##########------------------]  38.6% 11584/30000 |   40.2/s | elapsed 4m 48s | eta 7m 38s | process workers | examples 1150446 | q 514893 t 128745 r 70012
BC linear    [##########------------------]  38.8% 11648/30000 |   40.4/s | elapsed 4m 48s | eta 7m 34s | process workers | examples 1157028 | q 517709 t 129561 r 70409
BC linear    [##########------------------]  39.0% 11712/30000 |   40.5/s | elapsed 4m 49s | eta 7m 31s | process workers | examples 1163557 | q 520705 t 130007 r 70836
BC linear    [###########-----------------]  39.5% 11840/30000 |   41.0/s | elapsed 4m 49s | eta 7m 23s | process workers | examples 1176502 | q 526441 t 131431 r 71621
BC linear    [###########-----------------]  39.9% 11968/30000 |   41.4/s | elapsed 4m 49s | eta 7m 16s | process workers | examples 1189888 | q 532367 t 133038 r 72426
BC linear    [###########-----------------]  40.1% 12032/30000 |   39.7/s | elapsed 5m 3s | eta 7m 32s | process workers | examples 1195682 | q 534900 t 133596 r 72818 
BC linear    [###########-----------------]  40.3% 12096/30000 |   39.9/s | elapsed 5m 3s | eta 7m 29s | process workers | examples 1201844 | q 537771 t 134243 r 73169 
BC linear    [###########-----------------]  40.5% 12160/30000 |   40.0/s | elapsed 5m 4s | eta 7m 26s | process workers | examples 1208129 | q 540268 t 135247 r 73595 
BC linear    [###########-----------------]  40.7% 12224/30000 |   40.2/s | elapsed 5m 4s | eta 7m 22s | process workers | examples 1214328 | q 543027 t 136040 r 73958 
BC linear    [###########-----------------]  41.0% 12288/30000 |   40.4/s | elapsed 5m 4s | eta 7m 19s | process workers | examples 1220570 | q 545819 t 136822 r 74345 
BC linear    [###########-----------------]  41.2% 12352/30000 |   40.6/s | elapsed 5m 5s | eta 7m 15s | process workers | examples 1226619 | q 548418 t 137646 r 74729 
BC linear    [###########-----------------]  41.4% 12416/30000 |   40.7/s | elapsed 5m 5s | eta 7m 12s | process workers | examples 1232904 | q 551280 t 138099 r 75162 
BC linear    [###########-----------------]  41.6% 12480/30000 |   40.9/s | elapsed 5m 5s | eta 7m 8s | process workers | examples 1239024 | q 554286 t 138426 r 75541  
BC linear    [###########-----------------]  41.8% 12544/30000 |   41.1/s | elapsed 5m 5s | eta 7m 5s | process workers | examples 1245495 | q 557184 t 139110 r 75951  
BC linear    [###########-----------------]  42.2% 12672/30000 |   41.5/s | elapsed 5m 6s | eta 6m 58s | process workers | examples 1258933 | q 562763 t 140860 r 76792 
BC linear    [###########-----------------]  42.5% 12736/30000 |   39.7/s | elapsed 5m 21s | eta 7m 15s | process workers | examples 1264796 | q 565279 t 141525 r 77191
BC linear    [###########-----------------]  42.7% 12800/30000 |   39.9/s | elapsed 5m 21s | eta 7m 11s | process workers | examples 1270932 | q 567995 t 142370 r 77538
BC linear    [############----------------]  42.9% 12864/30000 |   40.0/s | elapsed 5m 21s | eta 7m 8s | process workers | examples 1277303 | q 570598 t 143190 r 77936 
BC linear    [############----------------]  43.3% 12992/30000 |   40.4/s | elapsed 5m 22s | eta 7m 1s | process workers | examples 1289642 | q 576130 t 144453 r 78694 
BC linear    [############----------------]  43.7% 13120/30000 |   40.8/s | elapsed 5m 22s | eta 6m 54s | process workers | examples 1302292 | q 581676 t 146006 r 79488
BC linear    [############----------------]  43.9% 13184/30000 |   41.0/s | elapsed 5m 22s | eta 6m 50s | process workers | examples 1308667 | q 584638 t 146845 r 79837
BC linear    [############----------------]  44.2% 13248/30000 |   41.1/s | elapsed 5m 22s | eta 6m 48s | process workers | examples 1315146 | q 587623 t 147456 r 80217
BC linear    [############----------------]  44.4% 13312/30000 |   41.3/s | elapsed 5m 23s | eta 6m 45s | process workers | examples 1321939 | q 590669 t 148274 r 80621
BC linear    [############----------------]  44.6% 13376/30000 |   41.3/s | elapsed 5m 24s | eta 6m 42s | process workers | examples 1328974 | q 593861 t 149098 r 81041
BC linear    [############----------------]  44.8% 13440/30000 |   39.8/s | elapsed 5m 37s | eta 6m 56s | process workers | examples 1335026 | q 596659 t 149781 r 81406
BC linear    [############----------------]  45.0% 13504/30000 |   40.0/s | elapsed 5m 38s | eta 6m 53s | process workers | examples 1341094 | q 599401 t 150331 r 81800
BC linear    [############----------------]  45.4% 13632/30000 |   40.3/s | elapsed 5m 38s | eta 6m 46s | process workers | examples 1353613 | q 604936 t 151567 r 82601
BC linear    [############----------------]  45.7% 13696/30000 |   40.5/s | elapsed 5m 38s | eta 6m 42s | process workers | examples 1359815 | q 607786 t 152330 r 82951
BC linear    [############----------------]  45.9% 13760/30000 |   40.7/s | elapsed 5m 38s | eta 6m 39s | process workers | examples 1366736 | q 610723 t 153590 r 83303
BC linear    [############----------------]  46.3% 13888/30000 |   41.0/s | elapsed 5m 38s | eta 6m 33s | process workers | examples 1379775 | q 616468 t 155175 r 84109
BC linear    [#############---------------]  46.5% 13952/30000 |   41.2/s | elapsed 5m 39s | eta 6m 30s | process workers | examples 1386146 | q 619285 t 155902 r 84498
